id,type,time,count,data,sht_t,sht_h,dht_t,dht_h,psm_t,psm_h
em-ciep-01,data,0,0,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",29.78752,38.06948,25.5,25.5,296.7,299.85
em-ciep-01,data,0,0,"[1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",29.78752,38.06948,25.5,25.5,296.7,299.85
em-ciep-01,data,7748770,959,"[19, 18, 19, 18, 17, 19, 19, 19, 19, 19, 19, 18, 20, 20, 21, 19, 18, 18, 18, 19]",25.63092,50.29957,0.0,0.0,264.75,387
em-ciep-01,data,7908741,979,"[19, 19, 19, 20, 19, 18, 18, 18, 17, 19, 18, 19, 19, 19, 19, 19, 18, 18, 18, 19]",25.60241,50.10807,0.0,0.0,264,386.05
em-ciep-01,data,8068710,999,"[18, 18, 16, 16, 15, 17, 18, 17, 17, 18, 19, 19, 19, 19, 19, 19, 18, 17, 16, 17]",25.56891,49.90658,0.0,0.0,264,385.1
em-ciep-01,data,8228679,1019,"[16, 17, 18, 18, 17, 16, 16, 17, 16, 16, 16, 14, 14, 15, 14, 15, 15, 15, 16, 16]",25.52741,49.75158,0.0,0.0,263.35,384.3
em-ciep-01,data,8388674,1039,"[13, 15, 15, 14, 14, 15, 13, 15, 16, 15, 14, 14, 12, 13, 14, 14, 15, 15, 14, 13]",25.46841,49.71258,0.0,0.0,263,383.25
em-ciep-01,data,8548672,1059,"[14, 14, 14, 14, 15, 15, 15, 14, 14, 13, 13, 13, 14, 14, 14, 14, 14, 13, 13, 14]",25.40241,49.67458,0.0,0.0,262.95,382.45
em-ciep-01,data,8708673,1079,"[11, 14, 15, 14, 14, 13, 13, 11, 12, 13, 12, 12, 12, 11, 11, 10, 11, 11, 10, 10]",25.35191,49.56257,0.0,0.0,262.05,381.75
em-ciep-01,data,8868674,1099,"[13, 11, 11, 12, 12, 13, 13, 13, 12, 11, 11, 12, 12, 11, 11, 12, 11, 11, 12, 13]",25.3404,49.43708,0.0,0.0,262,381
em-ciep-01,data,9028673,1119,"[12, 13, 12, 10, 10, 9, 10, 10, 11, 11, 11, 11, 10, 11, 11, 10, 10, 11, 11, 11]",25.3129,49.34608,0.0,0.0,261.7,381
