s_codigo_cf,fecha,hora,reg_val,time_s
em-ciep-01,191120,173233,0,17:32:33
em-ciep-01,191120,173241,1,17:32:41
em-ciep-01,191120,173249,1,17:32:49
em-ciep-01,191120,173257,1,17:32:57
em-ciep-01,191120,173305,0,17:33:05
em-ciep-01,191120,173313,1,17:33:13
em-ciep-01,191120,173321,1,17:33:21
em-ciep-01,191120,173329,1,17:33:29
em-ciep-01,191120,173337,0,17:33:37
em-ciep-01,191120,173345,0,17:33:45
em-ciep-01,191120,173353,0,17:33:53
em-ciep-01,191120,173401,0,17:34:01
em-ciep-01,191120,173409,0,17:34:09
em-ciep-01,191120,173417,0,17:34:17
em-ciep-01,191120,173425,0,17:34:25
em-ciep-01,191120,173433,0,17:34:33
em-ciep-01,191120,173441,0,17:34:41
em-ciep-01,191120,173449,1,17:34:49
em-ciep-01,191120,173457,1,17:34:57
em-ciep-01,191120,173505,1,17:35:05
em-ciep-01,191120,173513,1,17:35:13
em-ciep-01,191120,173521,0,17:35:21
em-ciep-01,191120,173529,1,17:35:29
em-ciep-01,191120,173537,1,17:35:37
em-ciep-01,191120,173545,0,17:35:45
em-ciep-01,191120,173553,0,17:35:53
em-ciep-01,191120,173601,0,17:36:01
em-ciep-01,191120,173609,0,17:36:09
em-ciep-01,191120,173617,0,17:36:17
em-ciep-01,191120,173625,0,17:36:25
em-ciep-01,191120,173633,1,17:36:33
em-ciep-01,191120,173641,1,17:36:41
em-ciep-01,191120,173649,1,17:36:49
em-ciep-01,191120,173657,0,17:36:57
em-ciep-01,191120,173705,1,17:37:05
em-ciep-01,191120,173713,0,17:37:13
em-ciep-01,191120,173721,0,17:37:21
em-ciep-01,191120,173729,0,17:37:29
em-ciep-01,191120,173737,1,17:37:37
em-ciep-01,191120,173745,1,17:37:45
em-ciep-01,191120,173753,1,17:37:53
em-ciep-01,191120,173801,0,17:38:01
em-ciep-01,191120,173809,0,17:38:09
em-ciep-01,191120,173817,1,17:38:17
em-ciep-01,191120,173825,1,17:38:25
em-ciep-01,191120,173833,1,17:38:33
em-ciep-01,191120,173841,1,17:38:41
em-ciep-01,191120,173849,1,17:38:49
em-ciep-01,191120,173857,1,17:38:57
em-ciep-01,191120,173905,1,17:39:05
em-ciep-01,191120,173913,1,17:39:13
em-ciep-01,191120,173921,0,17:39:21
em-ciep-01,191120,173929,0,17:39:29
em-ciep-01,191120,173937,1,17:39:37
em-ciep-01,191120,173945,1,17:39:45
em-ciep-01,191120,173953,1,17:39:53
em-ciep-01,191120,174001,1,17:40:01
em-ciep-01,191120,174009,1,17:40:09
em-ciep-01,191120,174017,1,17:40:17
em-ciep-01,191120,174025,1,17:40:25
em-ciep-01,191120,174033,0,17:40:33
em-ciep-01,191120,174041,1,17:40:41
em-ciep-01,191120,174049,1,17:40:49
em-ciep-01,191120,174057,0,17:40:57
em-ciep-01,191120,174105,0,17:41:05
em-ciep-01,191120,174113,0,17:41:13
em-ciep-01,191120,174121,1,17:41:21
em-ciep-01,191120,174129,1,17:41:29
em-ciep-01,191120,174137,1,17:41:37
em-ciep-01,191120,174145,0,17:41:45
em-ciep-01,191120,174153,0,17:41:53
em-ciep-01,191120,174201,0,17:42:01
em-ciep-01,191120,174209,0,17:42:09
em-ciep-01,191120,174217,0,17:42:17
em-ciep-01,191120,174225,0,17:42:25
em-ciep-01,191120,174233,0,17:42:33
em-ciep-01,191120,174241,0,17:42:41
em-ciep-01,191120,174249,0,17:42:49
em-ciep-01,191120,174257,1,17:42:57
em-ciep-01,191120,174305,0,17:43:05
